PASS n-mspan rc=0 exp=0 | PASS: 0 failure(s)
PASS m-stamp-count rc=1 exp=1 | MUTANT stamp-count-pop: attributed detector fired categories=0x60040 expected=0x60040 allowed=0x60040
PASS m-final-dwell rc=1 exp=1 | MUTANT final-dwell: attributed detector fired categories=0x18000 expected=0x10000 allowed=0x58000
PASS m-mote-visibility rc=1 exp=1 | MUTANT mote-visibility-pop: attributed detector fired categories=0x80000 expected=0x80000 allowed=0x80000
PASS m-palette-raw-clock rc=1 exp=1 | MUTANT palette-raw-clock: attributed detector fired categories=0x200000 expected=0x200000 allowed=0x200000
PASS m-palette-hard-switch rc=1 exp=1 | MUTANT palette-hard-switch: attributed detector fired categories=0x200000 expected=0x200000 allowed=0x200000
PASS m-death-effect-cutoff rc=1 exp=1 | MUTANT death-effect-cutoff: attributed detector fired categories=0x400000 expected=0x400000 allowed=0x400000
PASS p-mjoint-F rc=0 exp=0 | FAIL: 1 failure(s) [FAILABLE PUBLIC MUTE ENGAGED]
PASS p-mjoint-A rc=0 exp=0 | FAIL: 1 failure(s) [FAILABLE PUBLIC MUTE ENGAGED]
PASS p-mjoint-B rc=0 exp=0 | FAIL: 1 failure(s) [FAILABLE PUBLIC MUTE ENGAGED]
PASS p-mjoint-C rc=0 exp=0 | FAIL: 1 failure(s) [FAILABLE PUBLIC MUTE ENGAGED]
PASS p-mjoint-E rc=0 exp=0 | FAIL: 1 failure(s) [FAILABLE PUBLIC MUTE ENGAGED]
PASS p-mnodule-F rc=0 exp=0 | FAIL: 1 failure(s)   [FAILABLE LEG ENGAGED -- a failure here is the gate working]
PASS p-mnodule-A rc=0 exp=0 | FAIL: 1 failure(s)   [FAILABLE LEG ENGAGED -- a failure here is the gate working]
PASS p-mnodule-B rc=0 exp=0 | FAIL: 2 failure(s)   [FAILABLE LEG ENGAGED -- a failure here is the gate working]
PASS p-mnodule-C rc=0 exp=0 | FAIL: 2 failure(s)   [FAILABLE LEG ENGAGED -- a failure here is the gate working]
PASS p-mnodule-E rc=0 exp=0 | FAIL: 1 failure(s)   [FAILABLE LEG ENGAGED -- a failure here is the gate working]
PASS p-mnodule-ignore rc=0 exp=0 | FAIL: 6 failure(s)   [FAILABLE LEG ENGAGED -- a failure here is the gate working]
PASS p-mprobe-mirror rc=1 exp=1 | u02-probe: slot 13 ANTENNA SUPPORT carrier B key+midpoints 140/140 owned, missing 0 depth-fail 0, range -33..-18 mm — OK
PASS p-mprobe-outline rc=1 exp=1 | u02-probe: slot 13 ANTENNA SUPPORT carrier B key+midpoints 140/140 owned, missing 0 depth-fail 0, range -33..-18 mm — OK
PASS p-mprobe-scale rc=1 exp=1 | u02-probe: slot 13 ANTENNA SUPPORT carrier B key+midpoints 140/140 owned, missing 0 depth-fail 0, range -33..-18 mm — OK
PASS p-mprobe-support rc=1 exp=1 | u02-probe: slot 13 ANTENNA SUPPORT carrier A [CONTROL] key+midpoints 0/140 owned, missing 0 depth-fail 0, range 2147483647..-2147483648 mm — FAIL
PASS p-mprobe-support-depth rc=1 exp=1 | u02-probe: slot 13 ANTENNA SUPPORT carrier B [DEPTH CONTROL +40 mm] key+midpoints 140/140 owned, missing 0 depth-fail 140, range 7..22 mm — FAIL
PASS p-moutline-owner rc=1 exp=1 | FAIL: 1 failure(s)
PASS p-moutline-repaint rc=1 exp=1 | FAIL: 1 failure(s)
PASS p-mqa-lane rc=0 exp=0 | PASS: 0 failure(s)   [FAILABLE LEG: lane 0 answered for every lane]
PASS p-mqa-seam rc=0 exp=0 | FAIL: 4 failure(s)
PASS p-mqa-eye rc=0 exp=0 | FAIL: 2 failure(s)
PASS p-mqa-startle rc=0 exp=0 | FAIL: 1 failure(s)
PASS p-mqa-root rc=0 exp=0 | FAIL: 1 failure(s)
PASS p-mqa-fall rc=0 exp=0 | FAIL: 4 failure(s)
PASS p-meyesize-L rc=0 exp=0 | RED LEG OK: mute L restores only its eye to identity
PASS p-meyesize-R rc=0 exp=0 | RED LEG OK: mute R restores only its eye to identity
PASS p-meyesize-wrong rc=0 exp=0 | RED LEG OK: wrong-bone scale fails only left Eye->Pupil registration
