PASS n-mspan rc=0 exp=0 | PASS: 0 failure(s)
PASS m-brightness-seam rc=1 exp=1 | MUTANT brightness-seam: attributed detector fired categories=0x18000 expected=0x18000 allowed=0x58000
PASS m-stamp-count rc=1 exp=1 | MUTANT stamp-count-pop: attributed detector fired categories=0x60040 expected=0x60040 allowed=0x60040
PASS m-final-dwell rc=1 exp=1 | MUTANT final-dwell: attributed detector fired categories=0x18000 expected=0x10000 allowed=0x58000
PASS m-mote-visibility rc=1 exp=1 | MUTANT mote-visibility-pop: attributed detector fired categories=0x80000 expected=0x80000 allowed=0x80000
PASS m-palette-raw-clock rc=1 exp=1 | MUTANT palette-raw-clock: attributed detector fired categories=0x200000 expected=0x200000 allowed=0x200000
PASS m-palette-hard-switch rc=1 exp=1 | MUTANT palette-hard-switch: attributed detector fired categories=0x200000 expected=0x200000 allowed=0x200000
PASS m-death-effect-cutoff rc=1 exp=1 | MUTANT death-effect-cutoff: attributed detector fired categories=0x400000 expected=0x400000 allowed=0x400000
PASS p-mjoint-F rc=0 exp=0 | RED LEG OK: mute F makes its own public visible-skin gate fail
PASS p-mjoint-A rc=0 exp=0 | RED LEG OK: mute A makes its own public visible-skin gate fail
PASS p-mjoint-B rc=0 exp=0 | RED LEG OK: mute B makes its own public visible-skin gate fail
PASS p-mjoint-C rc=0 exp=0 | RED LEG OK: mute C makes its own public visible-skin gate fail
PASS p-mjoint-E rc=0 exp=0 | RED LEG OK: mute E makes its own public visible-skin gate fail
PASS p-mnodule-F rc=0 exp=0 | FAIL: 1 failure(s)   [FAILABLE LEG ENGAGED -- a failure here is the gate working]
PASS p-mnodule-A rc=0 exp=0 | FAIL: 1 failure(s)   [FAILABLE LEG ENGAGED -- a failure here is the gate working]
PASS p-mnodule-B rc=0 exp=0 | FAIL: 2 failure(s)   [FAILABLE LEG ENGAGED -- a failure here is the gate working]
PASS p-mnodule-C rc=0 exp=0 | FAIL: 2 failure(s)   [FAILABLE LEG ENGAGED -- a failure here is the gate working]
PASS p-mnodule-E rc=0 exp=0 | FAIL: 1 failure(s)   [FAILABLE LEG ENGAGED -- a failure here is the gate working]
PASS p-mnodule-ignore rc=0 exp=0 | FAIL: 6 failure(s)   [FAILABLE LEG ENGAGED -- a failure here is the gate working]
PASS p-mprobe-mirror rc=1 exp=1 | u02-probe: REST ANCHOR junctionB root-local ( -140,   199,     0) mm
PASS p-mprobe-outline rc=1 exp=1 | u02-probe: REST ANCHOR junctionB root-local ( -140,   199,     0) mm
PASS p-mprobe-scale rc=1 exp=1 | u02-probe: REST ANCHOR junctionB root-local ( -140,   199,     0) mm
PASS p-mprobe-support rc=1 exp=1 | u02-probe: REST ANCHOR junctionB root-local ( -140,   199,     0) mm
PASS p-mprobe-support-depth rc=1 exp=1 | u02-probe: REST ANCHOR junctionB root-local ( -140,   199,     0) mm
PASS p-moutline-owner rc=1 exp=1 | MUTANT] enclosed-opening owner disabled
PASS p-moutline-repaint rc=1 exp=1 | MUTANT] stale post-energy ink restore enabled
PASS p-mqa-lane rc=0 exp=0 | qa-p12: FAILABLE LEG OK -- with lane 0 answering for every lane Q1 reports the corpse as dead, which is exactly what the shipped gate does
PASS p-mqa-seam rc=0 exp=0 | qa-p12: FAILABLE LEG OK -- with hold_last off Q4 reports 2 death(s) standing back up, which is the fault pass 12 shipped
PASS p-mqa-eye rc=0 exp=0 | qa-p12: FAILABLE LEG OK -- Q2 rejects both death eye resets at their own settle keys
PASS p-mqa-startle rc=0 exp=0 | qa-p12: FAILABLE LEG OK -- legacy Startle timing exceeds its unchanged 260 mm ceiling
PASS p-mqa-root rc=0 exp=0 | qa-p12: FAILABLE LEG OK -- with the sag carry at one key Q3 reports 1 clip(s) over ceiling, which is the 240 mm teleport pass 12 shipped
PASS p-mqa-fall rc=0 exp=0 | qa-p12: FAILABLE LEG OK -- legacy Fall wrap makes Q5 reject 4 contract/channel item(s), including the non-root pose reset
PASS p-meyesize-L rc=0 exp=0 | RED LEG OK: mute L restores only its eye to identity
PASS p-meyesize-R rc=0 exp=0 | RED LEG OK: mute R restores only its eye to identity
PASS p-meyesize-wrong rc=0 exp=0 | RED LEG OK: wrong-bone scale fails only left Eye->Pupil registration
PASS e-live-history-normal rc=0 exp=0 | LIST OK 22 == creatures.json; HISTORY renderer RC 0, 22/22 OK (declared 0/0, executed 0/0)
PASS e-live-history-legacy rc=0 exp=0 | CONTROL ZHAO_U02_LIVE_MIST=legacy: renderer RC 5, 22/22 FAIL with executed mist > 0; LIST stays OK; 21/22 bytes == Wave D (crackle is the intended change)
PASS e-live-history-list-drift rc=0 exp=0 | CONTROL list-drift: LIST detector fired (site-not-in-renderer [manafold-hover]); HISTORY not run
PASS e-crackle-legacy-identity | manafold-crackle-legacy 0xEDDC80D7 == Wave-D manafold-crackle 0xEDDC80D7 (600 frames)
PASS e-fade-exact-off | ZHAO_U02_MOTE_SURFACE_FADE=off == no-fade binary: 23/23 live+legacy (18:05 binary), deaths/lasso re-checked on final binary; non-live 13/13 == baseline
PASS e-fade-fires | fade on vs off differs on every mana witness (channel 420/420 frames changed; hover/taunt3/deaths/lasso subsets)
PASS e-nonlive-identity | 13/13 non-live subjects byte-identical baseline vs Wave-E no-fade binary (mist kept explicit)
PASS e-selectors | 6/6 malformed ZHAO_U02_LIVE_MIST / MOTE_SURFACE_FADE / MOTE_SURFACE_FADE_MM values RC 2
